precio,m2,ambientes,dormitorios,baños,cocheras,es_a_refaccionar,tiene_quincho,m2_construidos_final,pileta_m2_real,tiene_jardin,estado_desc,tiene_vista_mar,es_cercano_mar,gas_natural,losa_radiante,porcentaje_cubierto,es_ph_loft,estilo_antiguedad,tipo_detectado,barrio_detectado,m2_no_construidos,es_lujosa_hardware,ratio_bano_dormitorio,factor_parque,tiene_seguridad,es_moderna_estrenar,dependencia_servicio,doble_vidrio_dvh,cochera_cerrada,nivel_pileta,es_renovada,en_complejo,ambientes_extra,ratio_dormitorio_ambiente,cantidad_plantas,precio_m2
510000.0,2260.0,6.0,4,3,2.0,0,1.0,175.0,0.0,1,standard,0,0,1,1,7.7433628318584065,0,Estándar/No Especifica,Casa,Pinamar General,2085.0,1,0.75,12.914285714285716,0,0,1,0,0,1,0,0,2.0,0.6666666666666666,1,2914.285714285714
570000.0,1239.0,6.0,5,4,4.0,0,0.0,269.0,1239.0,1,standard,0,0,1,0,21.71105730427764,0,Estándar/No Especifica,Casa,Pinamar Norte,970.0,1,0.8,4.605947955390334,1,0,0,1,1,2,0,1,1.0,0.8333333333333334,2,2118.9591078066915
110000.0,300.0,4.0,2,2,0.0,0,0.0,75.0,0.0,0,standard,0,0,0,0,25.0,1,Estándar/No Especifica,PH,Pinamar General,225.0,0,1.0,4.0,0,0,0,0,0,0,0,0,2.0,0.5,2,1466.6666666666667
385000.0,950.0,4.0,3,2,1.0,0,0.0,107.0,0.0,0,standard,0,0,0,0,11.263157894736842,0,Moderna/Nueva,Casa,Golf,843.0,1,0.6666666666666666,8.878504672897197,0,1,0,1,0,1,0,0,1.0,0.75,1,3598.1308411214955
225000.0,1000.0,6.0,3,2,1.0,0,1.0,100.0,0.0,1,remodelado,0,0,1,0,10.0,0,Renovada,Chalet,Pinamar Norte,900.0,0,0.6666666666666666,10.0,1,0,0,0,0,0,1,0,3.0,0.5,1,2250.0
379000.0,1000.0,4.0,3,2,2.0,0,1.0,155.0,200.0,0,standard,0,0,0,0,15.5,0,Estándar/No Especifica,Casa,Costa Esmeralda,845.0,0,0.6666666666666666,6.451612903225806,1,0,0,0,0,2,0,0,1.0,0.75,1,2445.1612903225805
820000.0,1000.0,6.0,5,6,3.0,0,0.0,195.0,0.0,0,standard,1,0,0,0,19.5,0,Estándar/No Especifica,Casa,Costa Esmeralda,805.0,1,1.2,5.128205128205129,0,0,1,0,0,1,0,0,1.0,0.8333333333333334,1,4205.128205128205
739000.0,940.0,6.0,5,3,4.0,0,0.0,195.0,0.0,1,nuevo,0,0,0,0,20.74468085106383,0,Moderna/Nueva,Mansión,Costa Esmeralda,745.0,1,0.6,4.82051282051282,0,1,0,1,0,1,0,0,1.0,0.8333333333333334,1,3789.74358974359
475000.0,900.0,7.0,4,4,2.0,0,0.0,151.0,0.0,1,standard,0,0,0,1,16.77777777777778,0,Estándar/No Especifica,Casa,Pinamar General,749.0,1,1.0,5.960264900662252,1,0,0,1,0,0,0,0,3.0,0.5714285714285714,1,3145.6953642384105
390000.0,1000.0,6.0,4,3,1.0,0,0.0,127.0,0.0,1,standard,0,0,0,0,12.7,0,Clásica/Antigua,Chalet,Alamos/Pioneros,873.0,0,0.75,7.874015748031496,0,0,0,0,0,2,0,0,2.0,0.6666666666666666,2,3070.8661417322833
250000.0,1000.0,4.0,3,3,4.0,0,1.0,170.0,0.0,1,standard,0,0,0,0,17.0,0,Clásica/Antigua,Chalet,Cariló,830.0,0,1.0,5.882352941176471,0,0,0,0,0,0,0,0,1.0,0.75,1,1470.5882352941176
260000.0,780.0,5.0,4,2,2.0,0,0.0,275.0,0.0,0,standard,0,0,0,0,35.256410256410255,0,Estándar/No Especifica,Casa,Pinamar General,505.0,0,0.5,2.8363636363636364,0,0,0,0,1,0,0,0,1.0,0.8,2,945.4545454545455
152000.0,232.0,4.0,3,1,1.0,0,0.0,113.0,0.0,1,standard,0,0,1,0,48.706896551724135,1,Estándar/No Especifica,PH,Pinamar Norte,119.0,0,0.3333333333333333,2.053097345132743,0,0,0,0,0,0,0,0,1.0,0.75,2,1345.132743362832
590000.0,1500.0,6.0,5,4,1.0,0,1.0,177.0,0.0,1,standard,0,0,1,1,11.8,0,Estándar/No Especifica,Casa,La Herradura,1323.0,0,0.8,8.474576271186441,0,0,0,0,0,2,0,0,1.0,0.8333333333333334,2,3333.3333333333335
340000.0,1000.0,4.0,3,3,0.0,0,0.0,95.0,0.0,0,standard,0,0,0,0,9.5,0,Estándar/No Especifica,Casa,Alamos/Pioneros,905.0,0,1.0,10.526315789473683,1,0,0,0,0,1,0,1,1.0,0.75,2,3578.9473684210525
270000.0,184.0,5.0,4,3,0.0,0,0.0,184.0,0.0,1,excelente,0,0,1,0,100.0,0,Estándar/No Especifica,Casa,Pinamar Norte,0.0,0,0.75,1.0,0,0,0,0,0,0,0,0,1.0,0.8,1,1467.391304347826
198000.0,340.0,4.0,3,3,2.0,0,0.0,131.0,0.0,0,standard,0,0,1,0,38.52941176470589,0,Estándar/No Especifica,Casa,Pinamar Centro,209.0,0,1.0,2.595419847328244,0,0,0,0,0,0,0,1,1.0,0.75,2,1511.4503816793892
390000.0,600.0,5.0,4,4,1.0,0,1.0,163.0,0.0,0,standard,0,0,0,0,27.166666666666668,0,Clásica/Antigua,Casa,Pinamar Centro,437.0,0,1.0,3.6809815950920246,0,0,0,0,0,0,0,0,1.0,0.8,2,2392.6380368098157
360000.0,1024.0,5.0,4,3,2.0,0,1.0,175.0,0.0,1,standard,0,0,0,1,17.08984375,0,Estándar/No Especifica,Casa,Pinamar Norte,849.0,0,0.75,5.851428571428571,0,0,0,0,0,1,0,0,1.0,0.8,1,2057.1428571428573
350000.0,800.0,3.0,2,4,1.0,0,0.0,105.0,0.0,1,standard,0,0,1,1,13.125,0,Estándar/No Especifica,Casa,Pinamar Norte,695.0,1,2.0,7.619047619047619,0,0,0,1,0,1,0,0,1.0,0.6666666666666666,1,3333.3333333333335
165000.0,477.0,4.0,3,2,1.0,1,0.0,171.0,0.0,1,remodelado,0,1,1,0,35.84905660377358,1,Renovada,PH,Pinamar Norte,306.0,0,0.6666666666666666,2.789473684210526,0,0,0,0,1,0,0,0,1.0,0.75,2,964.9122807017544
155000.0,350.0,4.0,3,4,1.0,0,0.0,119.0,0.0,0,excelente,0,0,0,0,34.0,0,Estándar/No Especifica,Triplex,Pinamar Centro,231.0,0,1.3333333333333333,2.9411764705882355,0,0,0,0,0,0,0,1,1.0,0.75,3,1302.5210084033613
315000.0,675.0,4.0,3,3,0.0,0,1.0,125.0,0.0,1,standard,0,0,1,1,18.51851851851852,0,Estándar/No Especifica,Casa,Golf,550.0,0,1.0,5.4,0,0,0,0,0,1,0,0,1.0,0.75,1,2520.0
890000.0,1300.0,6.0,4,4,5.0,0,0.0,205.0,0.0,0,excelente,0,0,0,0,15.769230769230768,1,Estándar/No Especifica,Loft,Costa Esmeralda,1095.0,0,1.0,6.341463414634147,0,0,0,0,0,1,0,0,2.0,0.6666666666666666,1,4341.463414634146
160000.0,534.0,4.0,3,2,0.0,0,0.0,89.0,0.0,0,standard,0,0,0,0,16.666666666666664,0,Estándar/No Especifica,Casa,Pinamar Centro,445.0,0,0.6666666666666666,6.0,0,0,0,0,0,0,0,0,1.0,0.75,2,1797.752808988764
590000.0,389.0,4.0,3,5,1.0,0,0.0,125.0,0.0,1,standard,0,0,0,1,32.13367609254499,0,Estándar/No Especifica,Casa,Pinamar General,264.0,1,1.6666666666666667,3.112,0,0,0,1,0,2,0,0,1.0,0.75,1,4720.0
295000.0,1148.0,4.0,3,3,0.0,0,0.0,168.0,0.0,0,standard,0,0,1,1,14.634146341463412,0,Moderna/Nueva,Casa,Alamos/Pioneros,980.0,0,1.0,6.833333333333333,0,1,0,0,0,0,0,0,1.0,0.75,2,1755.952380952381
380000.0,720.0,5.0,4,3,1.0,0,1.0,157.0,0.0,1,standard,0,0,1,0,21.805555555555557,0,Estándar/No Especifica,Casa,Pinamar Norte,563.0,0,0.75,4.585987261146497,0,0,1,1,0,0,0,0,1.0,0.8,2,2420.3821656050955
490000.0,1377.0,5.0,4,4,2.0,0,0.0,151.0,0.0,0,excelente,0,0,1,1,10.965867828612929,0,Estándar/No Especifica,Casa,La Herradura,1226.0,1,1.0,9.119205298013243,0,0,0,1,0,2,0,0,1.0,0.8,1,3245.0331125827815
260000.0,965.0,4.0,3,3,1.0,0,0.0,113.0,0.0,1,standard,0,0,0,0,11.709844559585491,0,Estándar/No Especifica,Casa,Alamos/Pioneros,852.0,0,1.0,8.539823008849558,0,0,0,0,0,0,0,0,1.0,0.75,2,2300.8849557522126
420000.0,250.0,4.0,3,3,1.0,0,1.0,143.0,0.0,1,standard,0,0,0,0,57.2,0,Estándar/No Especifica,Casa,Pinamar Norte,107.0,0,1.0,1.7482517482517483,0,0,0,0,1,0,0,0,1.0,0.75,2,2937.062937062937
280000.0,851.0,4.0,3,2,1.0,0,1.0,137.0,0.0,1,standard,0,0,0,0,16.09870740305523,0,Estándar/No Especifica,Casa,Pinamar Norte,714.0,0,0.6666666666666666,6.211678832116788,0,0,0,0,1,0,0,0,1.0,0.75,2,2043.7956204379561
189000.0,630.0,5.0,4,2,1.0,0,0.0,121.0,0.0,1,standard,0,0,0,0,19.20634920634921,0,Estándar/No Especifica,Casa,Pinamar General,509.0,0,0.5,5.206611570247934,0,0,0,0,0,0,0,0,1.0,0.8,1,1561.98347107438
299000.0,1123.0,3.0,2,3,0.0,0,0.0,81.0,0.0,1,standard,0,0,0,1,7.212822796081923,0,Estándar/No Especifica,Casa,Pinamar General,1042.0,0,1.5,13.864197530864198,0,0,0,0,0,0,0,0,1.0,0.6666666666666666,1,3691.358024691358
265000.0,200.0,3.0,2,3,0.0,0,1.0,111.0,0.0,1,standard,0,0,1,0,55.50000000000001,0,Estándar/No Especifica,Casa,Pinamar General,89.0,0,1.5,1.8018018018018016,0,0,0,0,0,0,0,0,1.0,0.6666666666666666,1,2387.387387387387
290000.0,801.0,6.0,3,3,1.0,0,0.0,265.0,0.0,0,standard,0,0,0,0,33.083645443196005,0,Estándar/No Especifica,Casa,Golf,536.0,0,1.0,3.0226415094339623,0,0,0,0,0,0,0,0,3.0,0.5,2,1094.3396226415093
650000.0,1577.0,5.0,4,5,2.0,0,0.0,157.0,0.0,1,standard,0,0,0,0,9.95561192136969,0,Estándar/No Especifica,Casa,La Herradura,1420.0,0,1.25,10.044585987261147,0,0,0,0,0,1,0,0,1.0,0.8,2,4140.127388535032
355000.0,1000.0,5.0,4,3,1.0,0,0.0,127.0,0.0,0,standard,0,0,1,1,12.7,0,Estándar/No Especifica,Casa,Pinamar Norte,873.0,1,0.75,7.874015748031496,0,0,0,1,0,1,0,0,1.0,0.8,2,2795.2755905511813
420000.0,950.0,5.0,4,2,1.0,0,0.0,240.0,0.0,1,standard,0,0,0,1,25.26315789473684,0,Estándar/No Especifica,Casa,Alamos/Pioneros,710.0,1,0.5,3.9583333333333335,0,0,0,1,1,0,0,0,1.0,0.8,2,1750.0
155000.0,112.0,3.0,2,2,0.0,0,0.0,75.0,0.0,0,standard,0,0,0,0,66.96428571428571,1,Estándar/No Especifica,PH,Pinamar Centro,37.0,0,1.0,1.4933333333333334,0,0,0,0,0,0,0,0,1.0,0.6666666666666666,1,2066.6666666666665
345000.0,960.0,4.0,3,3,0.0,0,0.0,95.0,0.0,1,nuevo,0,0,0,0,9.895833333333332,0,Moderna/Nueva,Casa,Alamos/Pioneros,865.0,0,1.0,10.105263157894736,0,1,0,0,0,0,0,0,1.0,0.75,1,3631.5789473684213
340000.0,828.0,6.0,4,3,2.0,0,0.0,145.0,0.0,1,standard,0,0,0,0,17.51207729468599,0,Estándar/No Especifica,Casa,Pinamar Norte,683.0,0,0.75,5.710344827586207,0,0,0,0,0,0,0,0,2.0,0.6666666666666666,1,2344.8275862068967
570000.0,847.0,6.0,4,5,1.0,0,0.0,139.0,0.0,1,standard,0,0,0,1,16.41086186540732,0,Estándar/No Especifica,Casa,Pinamar Norte,708.0,1,1.25,6.093525179856115,0,0,0,1,1,2,0,0,2.0,0.6666666666666666,3,4100.719424460432
320000.0,916.0,5.0,4,3,1.0,0,0.0,127.0,0.0,1,standard,0,0,0,0,13.864628820960698,0,Estándar/No Especifica,Casa,Alamos/Pioneros,789.0,1,0.75,7.21259842519685,0,0,0,1,0,2,0,0,1.0,0.8,1,2519.685039370079
450000.0,1037.0,5.0,4,3,1.0,0,0.0,127.0,0.0,0,excelente,0,0,0,0,12.246865959498551,0,Estándar/No Especifica,Casa,Pinamar General,910.0,0,0.75,8.165354330708661,1,0,0,0,0,2,0,0,1.0,0.8,1,3543.3070866141734
297000.0,861.0,3.0,2,3,1.0,0,0.0,99.0,0.0,1,nuevo,0,0,0,0,11.498257839721257,0,Moderna/Nueva,Casa,Alamos/Pioneros,762.0,1,1.5,8.696969696969697,0,1,0,1,0,0,0,0,1.0,0.6666666666666666,1,3000.0
490000.0,962.0,5.0,4,3,1.0,0,0.0,127.0,0.0,0,nuevo,0,0,0,1,13.201663201663202,0,Moderna/Nueva,Casa,Pinamar Norte,835.0,1,0.75,7.574803149606299,0,1,0,1,0,1,0,0,1.0,0.8,2,3858.267716535433
398000.0,210.0,4.0,3,2,1.0,0,0.0,107.0,0.0,0,standard,0,0,1,0,50.95238095238095,0,Estándar/No Especifica,Casa,Alamos/Pioneros,103.0,0,0.6666666666666666,1.9626168224299063,1,0,0,0,0,1,0,0,1.0,0.75,1,3719.626168224299
480000.0,1252.0,5.0,4,3,1.0,0,0.0,127.0,0.0,1,standard,0,0,0,0,10.143769968051116,0,Estándar/No Especifica,Casa,La Herradura,1125.0,0,0.75,9.858267716535432,1,0,0,0,0,1,0,1,1.0,0.8,1,3779.527559055118
